name,state,description,tags
Supply of Fodder Minikit,Gujarat,"The ""Supply of Fodder Minikit"" scheme introduced by the Agriculture, Farmers Welfare and Cooperation Department, Gujarat, aims to provide improved varieties of fodder seeds to farmers.","['Animal Husbandry', 'Fodder Minikit']"
"Assistance for Cattleshed, Gaman, Water Tank and Bucket",Gujarat,"The scheme ""Assistance for Cattleshed, Gaman, Water Tank and Bucket"" introduced by the Agriculture, Farmers Welfare and Cooperation Dept., Gujarat, aims to support livestock farmers by offering financial assistance for essential infrastructure such as cattle sheds, gaman, water tanks, and buckets.","['Animal Husbandry', 'Cattleshed', 'Shelter For Cattle', 'Water Tank']"
Subsidy Scheme on Establishment of 25 R.I.R./Kadaknath & 1000 Broiler Bird’s Unit and Stipend for Poultry Farming Training for Scheduled Tribes People of the State,Gujarat,"This scheme has been introduced by the Agriculture, Farmers Welfare and Cooperation Department, Gujarat. It aims to provide financial assistance and training stipends to Scheduled Tribe (ST) individuals in Gujarat for poultry farming.","['Agriculture', 'Birds Unit', 'Poultry Farming', 'Poultry Farming']"
Assistance of Concentrate Feed After Parturition (Scheduled Tribe Category),Gujarat,"The scheme ""Assistance of Concentrate Feed After Parturition (Scheduled Tribe Category)"" provides 150 kg of BIS Type II concentrate feed to Scheduled Tribe Category livestock owners after parturition to support cattle health, increase milk production, and enhance calf development.","['Animal Husbandry', 'Cattle Development', 'Concentrate Feeds', 'Milk Production']"
Assistance of Concentrate Feed for Pregnant Animals (Scheduled Caste Category),Gujarat,"This scheme provides free BIS type II concentrate feed to pregnant cattle owned by Scheduled Caste Category livestock owners in Gujarat to ensure their good health, boost immunity, prevent metabolic diseases, and enhance milk production.","['Animal Husbandry', 'Milk Production', 'Pregnant Cattle']"
COP-34 Financial Assistance to Farmer for Interest Subvention (Kishan Credit Card Interest Asst.),Gujarat,"Under this scheme, financial assistance in the form of interest subvention is provided to farmers who repay their crop loans on time, helping them improve their agricultural productivity and economic well-being.","['Agriculture', 'Farmer', 'Interest Subvention']"
Free Pre-Recruitment Training,Uttarakhand,"The scheme aims to provide 8 weeks of free pre-recruitment training for recruitment into the Military, Paramilitary, and Police Forces to sons of ex-servicemen aged between 16 and 21 years who have passed high school with at least 45% marks.","['Ex-serviceman', 'Military Forces', 'Paramilitary Forces', 'Police Forces', 'Recruitment Training', 'Soldier']"
To Provide Interest Subvention to Animal Husbandry of the State at the Rate of 4% to the Beneficiaries Kisan Credit Card,Gujarat,The scheme aims to provide 4% interest subvention to cattle breeders in Gujarat on timely repayment of short-term loans taken through the Kisan Credit Card for animal husbandry activities.,"['Agriculture', 'Animal Husbandry', 'Cattle Breeders', 'Interest Subvention']"
Agro Service Provider Scheme,Gujarat,"The ""Agro Service Provider Scheme"" introduced by the Agriculture, Farmers Welfare and Cooperation Department, aims to support farmers by providing subsidies for acquiring agricultural implements.","['Agriculture', 'Subsidy']"
National Awards to Teachers,Ministry of Education,"""National Awards to Teachers"" aims to celebrate the contributions of outstanding teachers and enhance the quality of school education. This award provides public recognition and honours the commitment of teachers, benefiting meritorious teachers working in primary, middle, and secondary schools.","['Award', 'Education', 'School', 'Student', 'Teacher']"
Anya Pichhda Varg Kalyan Chhatravaas,Bihar,"The Scheme ""Anya Pichhda Varg Kalyan Chhatravaas"" under the BC & EBC Welfare Department, Bihar. under this scheme, provied ₹1,000/- per month hostel grant is provided for each student and 15 kg of free food grains per month (9 kg rice + 6 kg wheat).","['Backward Classes', 'Financial Support', 'Hostel', 'Student']"
Scheme for Awarding Fellowships for Undergraduate and Postgraduate Students,Gujarat,"The ""Scheme for Awarding Fellowships for Undergraduate and Postgraduate Students"" provides financial support in the form of monthly scholarships to students pursuing higher education in various faculties at Anand Agricultural University.","['Agricultural Scholarship', 'Fellowship', 'Postgraduate', 'Student', 'Undergraduate']"
The Scheme for Fellowship to Under Graduate Students for Various Faculties of Sardarkrushinagar Dantiwada Agricultural University,Gujarat,"""The Scheme for Fellowship to Under Graduate Students for Various Faculties of Sardarkrushinagar Dantiwada Agricultural University"" provides monthly fellowship to meritorious undergraduate students across various faculties of Sardarkrushinagar Dantiwada Agricultural University.","['Agricultural Scholarship', 'Fellowship', 'Student', 'Undergraduate']"
Cash Amount for Encouraging Scheduled Tribe Sportsperson Students,Rajasthan,"Under this scheme, cash awards, certificates, and mementos are provided as a form of encouragement to Scheduled Tribe  sportsperson students who secure the top three positions in national and international sports events.","['Incentive', 'Scheduled Tribe', 'Sports Training', 'Sportspersons', 'Student', 'Tribal']"
Loan for Training of Commercial Pilot (GUEEDC),Gujarat,"The scheme ""Loan for Training of Commercial Pilot (GUEEDC)"" by the Social Justice and Empowerment Department, Gujarat, provides financial loan assistance of up to ₹25,00,000/- at 4% simple interest per annum is provided to Unreserved category candidates for pursuing commercial pilot training.","['Commercial Pilot Training', 'Education Loan', 'Loan']"
Assistance for Cultivation of Medicinal/ Aromatic Crops,Gujarat,"The scheme provides financial assistance up to 75% of the cost or ₹11,250/- per hectare (whichever is lower) to farmers in Gujarat cultivating medicinal or aromatic crops on land between 0.20 and 4 hectares.","['Agriculture', 'Aromatic Crops', 'Medicinal Crops']"
Assistance for Cultivation of Medicinal/ Aromatic Crops,Gujarat,"The scheme provides financial assistance up to 75% of the cost or ₹11,250/- per hectare (whichever is lower) to farmers in Gujarat cultivating medicinal or aromatic crops on land between 0.20 and 4 hectares.","['Agriculture', 'Aromatic Crops', 'Medicinal Crops']"
"Free Bicycle Distribution to Students of Vimukt, Ghumantu and Ardhghumantu Communities",Rajasthan,"The scheme aims to provide free cycles to students studying in classes 6th to 11th in government and recognized private educational institutions and belonging to Denotified Tribes, Nomadic and Semi-Nomadic Tribes communities of Rajasthan.","['Bicycle', 'Denotified Tribes', 'Nomadic Tribes', 'Semi Nomadic Tribes', 'Student']"
Loan for Training of Commercial Pilot (GUEEDC),Gujarat,"The scheme ""Loan for Training of Commercial Pilot (GUEEDC)"" by the Social Justice and Empowerment Department, Gujarat, provides financial loan assistance of up to ₹25,00,000/- at 4% simple interest per annum is provided to Unreserved category candidates for pursuing commercial pilot training.","['Commercial Pilot Training', 'Education Loan', 'Loan']"
Atma Nirbhar Matsya Palan Yojana,Arunachal Pradesh,"The scheme aims to provide a 45% subsidy with credit linkage for fishery infrastructure to ST individuals, SHGs, and FPOs engaged in aquaculture.","['Farmers', 'FPO', 'Loan', 'Scheduled Tribe', 'Self Help Groups', 'Subsidy']"
Passenger Vehicle/Loading Vehicle Loan Scheme (DAADC),Gujarat,"The ""Passenger Vehicle/Loading Vehicle Loan Scheme"" introduced by the Social Justice and Empowerment Department provides financial support to unemployed individuals from Antyodaya Caste for purchasing passenger or freight vehicles.","['Antyodaya', 'Employment', 'Loading Vehicle Loan', 'Passenger Vehicle Loan', 'Scheduled Caste']"
Free Coaching Scheme,Ministry Of Social Justice and Empowerment,The scheme aims to provide good coaching quality for DNT candidates to enable them to appear in competitive examinations and succeed in obtaining an appropriate job in the Public/Private Sector.,"['Coaching', 'Competitive Exams', 'DNT', 'Special Allowance', 'Stipend']"
Financial Incentive to SC Meritorious Girls Students,Assam,"The scheme provides financial incentives worth ₹5,000/- to the meritorious girls from Scheduled Castes who have secured 80% or above marks in the HSLC examination. To objective is to motivate and encourage SC students to pursue higher studies and bring them at par with the rest.","['Incentive', 'Merit', 'Scheduled Caste', 'Social Welfare', 'Student']"
Sugamya Pustakalaya,Uttarakhand,"The scheme ""Sugamya Pustakalaya"" is a unique resource providing reading material in accessible formats (Braille, audio, large print, digital, e-books) to visually impaired and print-disabled individuals across India, offering both free individual membership and paid institutional membership.","['Audiobook', 'Braille Books', 'Digital Library', 'Learning']"
Operation of River Rafting / Kayaking Activities,Uttarakhand,"The scheme aims to promote safe & regulated adventure tourism in the state by allowing licensed rafting companies to operate & issuing certifications to qualified river guides. Under this scheme, rafting companies are granted permission to operate, and licenses are issued to qualified river guides.","['Aero Sports', 'Kayaking Activities', 'License', 'River Rafting', 'Tourism Business']"
Rural Technology Complex,Uttarakhand,"The scheme ""Rural Technology Complex"" by the Programme Implementation Department, Government of Uttarakhand, aims to enhance livelihood opportunities in the Himalayan region through the use of local, need-based and environment-friendly technologies.","['Environment-Friendly Technology', 'Rural Technology', 'Self-Help Groups', 'Skill Development', 'Training Program']"
Rural Technology Complex,Uttarakhand,"The scheme ""Rural Technology Complex"" by the Programme Implementation Department, Government of Uttarakhand, aims to enhance livelihood opportunities in the Himalayan region through the use of local, need-based and environment-friendly technologies.","['Environment-Friendly Technology', 'Rural Technology', 'Self-Help Groups', 'Skill Development', 'Training Program']"
ICSSR Post-Doctoral Fellowship,Ministry of Education,The Indian Council of Social Science Research (ICSSR) offers Postdoctoral Fellowships to encourage original and quality research by young and mid-career scholars in the field of social sciences. It is designed for researchers who have just finished their Ph.D. in advanced social science research.,"['ICSSR Fellowships', 'Post-Doctoral Fellowship', 'Research Promotion', 'Social Science Research', 'Social Scientists']"
ICSSR Senior Fellowship,Ministry of Education,"The Indian Council of Social scientific Research (ICSSR), under the Ministry of Education, offers a Senior Fellowship Scheme designed to assist accomplished Indian researchers in conducting advanced social science research.","['ICSSR Fellowships', 'Research Promotion', 'Senior Fellowship', 'Social Science Research', 'Social Scientists']"
